file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
WL_RAW_BHPR-MECH_TIME_MWD_2-45942.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_20_A,2015/07/08,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/10/13:11:05:38
WL_RAW_BHPR-MECH_TIME_MWD_3-45943.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_20_A,2015/07/08,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/10/13:11:06:55
WL_RAW_GR-REMP_MD_MWD_PLOT_1-66400.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/01/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,8,-,,,,,,,2016/05/11:13:40:48
WL_RAW_GR-REMP_MD_MWD_PLOT_2-66402.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/01/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,9,-,,,,,,,2016/05/11:13:41:29
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_3-66437.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/01/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,10,-,,,,,,,2016/05/11:13:49:42
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_1-66436.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/01/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,8,-,,,,,,,2016/05/11:13:49:21
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_2-66441.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/01/28,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DRILLING,FINAL,-,9,-,,,,,,,2016/05/11:13:51:07
MUD_LOG_MD_PLOT_1-112932.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/02/04,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:34:58
MUD_LOG_MD_PLOT_2-112928.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/02/04,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:29:33
MUD_LOG_MD_PLOT_3-112930.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/02/04,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:31:05
